id,comment
@prollymiss4953,"제가 제일 좋아하는 때껄룩님 플리로 시작하네요 ,, ♡ 요즘 학업이 너무 힘들고 많이 지치기도 하지만 어떻게든 하고 있는 하루에 힘이 되어주는 것 같아요..!! 한창 이 플리 열심히 들었었는데 앞으로도 잘 부탁할게요 최애 노래 플리님 "
@thedailyvibe247,"This playlist is the perfect accompaniment for a long drive or road trip. The person who is reading thisment, I wish you grehealth, love and happiness "
@TokyoChill87,"Billions of people.. yet we're still alone listening to this late at night♡  Hey guys it's been a while and I'm here to vent my sadness again, thanks for the comforting words, I hope that some of you here guys will have a great day/time and have a successful life :,)"
@cloverfield-,"I’m sitting outside at the recovery home I’m at, smoking a cigarette, and listening to this. I’m finally sober. No more heroin. No more sleepless nights. No more battling to stay alive everyday. It’s over. I’m at peace. I missed this feeling so much"
@user-vw4rn7vt7z,역시 떼껄룩 레전드는 드라이브임.. 몇년이 지나도 드라이브 플리 노래들은 꼭꼭 듣는…  아 공부 때려치고 드라이브 가고 싶다
@6-671,전에 30분짜리 들으면서 살짝 길이가 아쉬웠는데 이거 너무 좋아요~
@kaaak6379,후반부곡들도 물론 좋지만 초반곡들 다 제취향이라 미치도록 좋습니다
@Yoona_Kpop,원래 이 노래 듣고 봄날의 거리를 걸어야 하겠지만 현실은 시험기간이라 독서실에서 노래 들으면서 시험공부 하는중 다들 1등급 맞으세요 파이팅
@eagles810,아직 차가 없어서 유로트럭에서 트럭 몰면서 듣고 있읍니다 ^^ 감사합니다 ㅋㅋ
@_Ryzuki,"Great video, I hope you can improve the resolution of the video quality better. Keep up the great work.."
@lovemelapme,진짜 드라이브 하는 것 같구 너무 조으다
@user-cg7pu2qr1c,제주도 갔을 때 계속 돌리던 플린데 이렇게 올라오니까 더 좋네요최고에요
@user-uo9sd6wl3t,아빠차타고 가면 꼭 이 플리틀어드립미다.. 팝송을 좋아하는 많이 시끄럽지않고 적당히 신나면서 운전에 방해되지않는 부드러운느낌의 음악을 찾아달라길애 냅다틀었는데 그뒤로 이풀리만 들으셔욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 첫곡은 ㄹㅈㄷ 출근플리도 되는...
@user-mz2hw3ih8k,노래 다 넘 좋아요
@ivorylee,드라이브가고싶당 노래랑 영상이랑 넘 좋아요!
@dmam_,"악 드라이브 플리,.. 다 너무 좋습니다… ㅜㅜ"
@parkgold1,와 시험공부 중인데 너무 노래가 좋아요
@Mfive22,Good. This playlist is perfect
@winkyidol08.03,좋은 음악 감사합니다♡
@user-vh5vc3cb7f,첫곡이랑 영상 진짜...찰떡..
@chris-xh9eg,여행 끝나고 공항에서 비행기 기다리는데 이 플리를 들어버렸다 다시 비행기 예약한다
@siyoungyou2564,매일매일 일 하면서 듣고 있다는~ 일 집중 잘되고요 때껄룩님 감사하고요
@user-ly6fc3jx8w,틀어놓고 한잔 하고 있어요   술도 안주도 맛없는 기분인데 음악은 맛있네요  오늘의 위안은 술이 아니라때껄룩님 음악 같아요 
@user-fk5zw7lb7k,와 모음집 너무 좋아요
@user-gx8xk7sl8d,개좋아 진심..
@chebiphea,제일 좋아하는 플리였는데 다시 올라왔군요ㅎㅎ
@user-gj2kk4pd5i,플레이 리스트 넘 좋아서 바로 구독 눌렀습니당 
@xoxo940910,첫곡부터 존나 영상이랑 어울린다퇴근길에 딱 영상처럼 노을+어스름한 하늘빛 보면서 창문 열어놓고 바람쐬며 양화대교를 지나쳐~~~~ 크...그게 금요일이라면 더할나위 없이 행복하겠다
@bbombbom,"첫곡부터 마쳣잖아요,.. 딱 내가 원하는 감성... ?"
@kmj6083,첫 곡 넘 좋아요 
@ryuuu9777,전부 다 좋은 곡이라 넘어갈 곡이 없네~!
@user-gh5my7kv9n,사실 이건 드라이브 안해도 드라이브하는 거 같아서 조아 … ^^
@user-vs9bh4oi2m,차크닉와서 차에 누워있는데 ㅋ음악들으니 급 드라이브 가고싶어지네
@soyeoreum,"소중하다,.. 때껄룩 채널 옛날 기억도 나고"
@GOLD2504,음 좋네요...끓어오르던 마음이 차분해 지는 느낌이네요. 여행 가고 싶네요 갑자기
@user-ks9nm6mj8q,여행 갈때는 그렇게도 신나는데 여행 끝나고 집 돌아올때는 또 지치잖아 그 때 딱 창문 열고 시원한 바람이 얼굴 스치고 노을도 핑크빛으로 물들은 거 보면 너무 기분이 몽글몽글 하더라 수많은 도시 불빛들 속에서 차타고 달리는 기분이 말로 표현하기 여려운 감정을 주더라고++ 헉 좋아요 117..?
@-jee1996,드라이빙 시리즈 모음집 센스  넘모 조쿠요
@stepupmanager4070,첫곡은 언제 들어도 한강가고 싶어지는(?) 느낌을 준단마랴..
@user-ph9ur5yv6f,내가 좋아하는 노래만 있다 어쩜 좋아 sincerity is scary까지
@boygood1053,첫곡 멜로디 듣자마자 따봉 눌렀습니다 감사합니다
@user-bz4hh6ni5z,내가 이걸로 때껄룩을 알게 됐지 스위트커피로 시작하는 플리도 덕분에 참 좋아하는 플리입니다
