id,comment
@user-or6lu1ec9y,2023년에도 들으러온 사람 손~~♡
@user-pp9lz5ug9w,역시 옛날 댄스가 넘 자연스럽고 좋네요~~ 요즘 아이돌댄스는 억지로 맞출려고 기계적으로 추는 춤이라면..  쿨의 댄스는 즐겁게 즐기는 꾸밈없는 춤이라고나 할까?~~
@hanchngh,이 영상은 진짜 레전드다.. 전부 세련되고 당시 90년대의 젊음이 느껴지는 영상임
@user-mj8hw7zq1f,쿨은 진짜 한국 가요계에서 빼놓을 수 없는 레전드 중 하나지ㅠ
@eeel01,이재훈 보컬은 진짜 괜찮다...음색자체가 지금 들어봐도 부담없고 세련된 느낌이있음
@wayneyoon,와 이재훈 세련된거봐.. 외모에 스타일에 감미로운 목소리에 춤선까지 진짜 대단함
@sjpark2k,"젊음의 아름다움, 눈부심. 무엇으로도 바꿀수 없는 것."
@DS-on2bb,"메인보컬 이재훈 목소리는 진짜 시대를 앞섰네 ㄷㄷ  창법이나 목소리가 2021년 현재 들어도 위화감, 촌스러움이 단 1도 없다"
@user-we9zf3hu4r,젊음이란 아무런 치창 없어도 그 자체로 빛나는 구나. 이재훈 김성수 유리. 모두 아름답다.
@nahope8175,쿨은 뭐든 다 히트 쳣는데..역대급 그룹..
@user-rs2fq3qv7i,대단한 가수입니다. 당시 춤추면서 라이브할수있는 가수가 3팀이었죠.샵.디제이디오씨.쿨 이재훈씨노래 쉽지않아요. 이노래가 아직도 학교등에서 응원가 및 치어리더들이 선호하는거 보면 진짜 명곡입니다
@user-sl7gc8hw1z,쿨 노래는 언제 들어도 행복함사람 행복해지게 하는 노래들...쿨 완전체 너무 그립다
@raykim1812,슬픔과 경쾌함이 이렇게 절묘하게 섞일 수 있다니........멋져~~
@violetviolet8385,이  노래는  20년이  지나도  아직도  노래방가면  부르는데   여전히  좋네  ㅎㅎ
@macrodeveloperkim5160,이 노래는 영원한 전설이다.
@pjharper71,Absolutely brilliant. I used to love Cool! The coolest band from South Korea. My early teaching days in Korea were rocking'.
@xXsmartkangXx,쿨 음악은 아직도 거의 전곡을 가끔씩 듣는다는. 이런 색깔의 음악은 두번 다시 있기 힘들 듯.
@user-sv2wh5pd2r,"50이넘은 지금..쿨~팬으로 매년 여름 앨범나오면 사다 듣던 가장 최애그룹..이 노래는 지금도 마이크 줘어주면 불러재낍니다. 몸치지만  사각그리기와 사이드스탭 해가며 불러대면 어린 직원들은 신나하고, 나이든 직원은 탬버린 흔들며 목청껏 흥을 뽑아올리죠. 딱 두번 듣고나면 중독성이 엄청난 노래....엄지척 ..넘사벽 곡이죠.."
@user-mu5dc3sg1k,언제 들어도 명곡.. 타임머신이 있다면  저 때로 돌아가고 싶네요  소중한 추억들  모든게 그립고 그립네요
@user-ts8ww1bs8b,노래 너무너무너무 좋다.. 가사도 넘 좋음
@user-jy8zx3gn8u,옛날댄스는 뭔가 요즘처럼 스킬에 비중을 두기보단 진심으로 가수들이 즐기는모습이 보인다
@lesser-panda,국내 곡중에 오래 들어도 질리지않는 첫 곡이었지
@gustjrtjdbs1,"95년생인데 어릴때 이 노래 엄청 많이 들은 기억이 나네요 ㅋㅋㅋㅋㅋ 노래를 들으면 그 시절 분위기와 모습, 기억이 떠오른다는게 정말 축복이네요."
@user-vc8ld6ek6o,주기적으로 들어야됨 중독성이 엄청 좋음
@jiheekim9493,이재훈 목소리 좋고 잘생겼다.. 노래도 좋고..
@user-nj9bs4nl9q,지금 들어도 좋다..쿨 노래는 거의 다 좋은듯
@user-ow6fm9qe6l,귀티가 난다는게 이런거구나... 진짜 멋지다 이상형 저런스타일도 아닌데 진짜 반했다
@geenlee262,언제 들어도 좋은 명곡!
@yiwisdom,노래 진짜 좋다.
@user-tt8fg7bd3f,90년대생인데 이시절 노래랑 분위기 부럽다 ㅠㅠㅠ
@user-ci6xx2mr8r,쿨 노래는 멜로디도 좋지만 가사가 진국임
@love-xi6yr,쿨 노래야 워낙 히트곡이 넘쳐나니깐 난 개인적으로 나의 좋은 시절이었던 작은기다림이 제일 좋음 ㅋㅋ
@hysuptv,슬퍼지려 하기 전에 모든 영상 중에 이게 가장 맘에 듭니다. 멤버 3명 모두 춤추고 노래하는 그 순간을 즐기는 게 느껴지네요. 참 흐르는 세월이 무심합니다.
@user-er4uv3cq8z,"이재훈이 쿨 하드케리하던 시절, 진심 보컬과 외모 완벽했음"
@user-ck7xu2un6f,가사는 슬프지만 멜로디는 아름다움
@Mickey-kp9po,この歌大好き今もよく聞く。テンションあがります(*´∇｀)?
@SeanKimStyle,"In 30 years no one will remember who 2PM was, but A lot of people will remember Cool.  They are like the Beatles and Beach Boys combined."
@Kja205,언제 들어도 신나는 리듬이 좋네요
@user-dn9jh7im9k,가요역사에 길이길이 남을 팀 쿨! 영원하여라
@user-hh8er1dt6s,노래를 너무 쉽게 해서....가창력이  좋은지도 몰랐음. 라이브 부를때 보니 진짜 지림...
@love-bt4yj,90년대 중반을 가요계의 진짜 전성기였다는 이유는 노래방 댄스가요 스터디셀러를 많이 만들어내서지요 ㅋㅋㅋ 슬퍼지려하기전에 나올때 천생연분과 진이 등등등 노래방에서 롱런한 노래들이 많이 나왔드랬지요 쿨은 버릴노래가 없음
@user-yr3yz9pb3e,쿨은 정말 전설이다 ;;
@4free2,"이제훈 ,,, 가수가 튈려고 발악하는 요란한 무당빤스같지 않고 스타일  보테가 베네타같이 뭔가 채도 쭈욱빼고 묵묵한데 뭔가세련됨 진짜 ...스타일보소"
@KkK-yv1wd,가사 전달이 이렇게 잘 되나 ㄷ ㄷ 요즘 무대만 계속 봐서 그런 거 잘 몰랐었는데 이렇게 가사가 또박 또박 들릴수가;; 대박
@user-sj4cx1vj1s,이재훈 진짜 멋있다... 와
@k820712,쿨노래는 지금들어도 촌스럽지가 않네
