@takealook.,"???????????????? 이거 틀면 운전하다 옆차선에서 제목 알려 달라한다0:0:01 Marshmello - Leave Before You Love Me0:02:34 Post Malone - Circles
0:06:08 Justin Bieber - Peaches
0:09:25 Cheat Codes - Hate You + Love You 
0:12:45 Blackbear & Wiz Khalifa - CHEERS
0:16:06 Cody Fry - Thinking About You 
0:19:54 The 1975 - sincerity is scary
0:23:41 Sylo Nozra - Fomo
0:25:46 Lauv - Adrenaline옆에 타 내가 운전은 못해도 노래는 기가 막히게 트니까0:29:15 Mullally - Sweet Coffee (feat. Bassette)0:32:38 Easy life - Dead Celebrities0:36:09 BENEE - Glitter0:39:10 Mae Muller - Therapist0:42:12 Conan Gray - Generation Why0:45:46 Heaven Falls / Fall on me0:49:49 Inhaler - Ice Cream Sundae???????????????? 새벽에 드라이브 갈래 ?0:53:45 Dua Lipa - Don't Start Now
0:56:44 SAINT PEPSI - Fiona Coyne
1:00:49 Ciara - Thinkin Bout You
1:04:35 KYLE - F You I Love You
1:08:33 Lennon Stella - Summer Feelings 
1:11:15 Why Don't We - Unbelievable???????????????? 역시 드라이브 할때는 신나는 음악이지1:14:27 NEIKED, Mae Muller, Polo G - Better Days
1:17:07 Doja Cat - Kiss Me More
1:14:27 Bruno Mars - Skate 
1:14:27 Justin Bieber - STAY
1:14:27 SAINT PEPSI - Fiona Coyne
1:14:27 Raye - Please Don't Touch
1:14:27 Galantis - Satisfied
1:14:27 Dua Lipa - Levitating 
1:14:27 Shawn Mendes - 305 
1:14:27 Imagine Dragons - Monday"
@ChillWithMe-rb4of,"This playlist is perfect for a chill day at home or by the pool. To anyone reading this while listening to this music, I know what you feel, you’re probably even crying right now, but whatever can happen to you is nothing compared to what you have accomplished and who you are. You are an amazing person and never let anyone make you feel otherwise. You might be having a bad time, but behind walls is always happiness. Have a great day/week/month/year and remember that nothing is worth loosing your life."
@prollymiss4953,"제가 제일 좋아하는 때껄룩님 플리로 시작하네요 ,, ♡ 요즘 학업이 너무 힘들고 많이 지치기도 하지만 어떻게든 하고 있는 하루에 힘이 되어주는 것 같아요..!! 한창 이 플리 열심히 들었었는데 앞으로도 잘 부탁할게요 최애 노래 플리님 "
@thedailyvibe247,"This playlist is the perfect accompaniment for a long drive or road trip. The person who is reading thisment, I wish you grehealth, love and happiness "
@TokyoChill87,"Billions of people.. yet we're still alone listening to this late at night♡  Hey guys it's been a while and I'm here to vent my sadness again, thanks for the comforting words, I hope that some of you here guys will have a great day/time and have a successful life :,)"
@cloverfield-,"I’m sitting outside at the recovery home I’m at, smoking a cigarette, and listening to this. I’m finally sober. No more heroin. No more sleepless nights. No more battling to stay alive everyday. It’s over. I’m at peace. I missed this feeling so much"
@user-vw4rn7vt7z,역시 떼껄룩 레전드는 드라이브임.. 몇년이 지나도 드라이브 플리 노래들은 꼭꼭 듣는…  아 공부 때려치고 드라이브 가고 싶다
@6-671,전에 30분짜리 들으면서 살짝 길이가 아쉬웠는데 이거 너무 좋아요~
@kaaak6379,후반부곡들도 물론 좋지만 초반곡들 다 제취향이라 미치도록 좋습니다
@Yoona_Kpop,원래 이 노래 듣고 봄날의 거리를 걸어야 하겠지만 현실은 시험기간이라 독서실에서 노래 들으면서 시험공부 하는중 다들 1등급 맞으세요 파이팅
@eagles810,아직 차가 없어서 유로트럭에서 트럭 몰면서 듣고 있읍니다 ^^ 감사합니다 ㅋㅋ
@_Ryzuki,"Great video, I hope you can improve the resolution of the video quality better. Keep up the great work.."
@lovemelapme,진짜 드라이브 하는 것 같구 너무 조으다
@user-cg7pu2qr1c,제주도 갔을 때 계속 돌리던 플린데 이렇게 올라오니까 더 좋네요최고에요
@user-uo9sd6wl3t,아빠차타고 가면 꼭 이 플리틀어드립미다.. 팝송을 좋아하는 많이 시끄럽지않고 적당히 신나면서 운전에 방해되지않는 부드러운느낌의 음악을 찾아달라길애 냅다틀었는데 그뒤로 이풀리만 들으셔욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 첫곡은 ㄹㅈㄷ 출근플리도 되는...
