id,comment
@JJINMAK,영상이 마음에 드셨다면 [ 구독 ️️ ]  [ 좋아요  ]  [ 알림  ]타임라인은 자세히 보기를 누르면 나옵니다   ••••••  🇵​🇱​🇦​🇾​🇱​🇮​🇸​🇹​  •••••• [광고 제거  1:38:33] 0:00:01 l   앤씨아 - 너의 하루는 어때?0:03:26 l   우연수 - 아프지 말고 아프지 말자0:07:18 l   이하이 - 한숨0:12:08 l   Crush - Alone0:16:33 l   로시 - Stars0:20:53 l   아이유 - 이름에게0:25:43 l   폴킴 - 마음0:30:24 l   권진아 - 위로0:33:42 l   이하이 - 홀로0:36:40 l   윤미래 - 너의 얘길 들어줄게0:39:55 l   볼빨간사춘기 - 민들레0:43:58 l   아이유 - 마음을 드려요0:48:39 l   윤하 - 기도0:52:58 l   Sondia - 어른0:57:18 l   김보경 - 혼자라고 생각말기1:00:50 l   아이유 - Love poem1:05:08 l   볼빨간사춘기 - 나의 사춘기에게1:08:51 l   윤하 - 느린 우체통1:13:02 l   노을 - 함께1:17:35 l   Zion.T - 꺼내 먹어요1:20:17 l   G.Urban (지어반) - 위로해줄게1:23:48 l   앤씨아 - 밤바람1:27:38 l   비투비 - 괜찮아요1:31:50 l   디아크 - 빛1:34:52 l   에일리 - Higher (Feat. 이루마)  유튜브에 음악을 업로드하면 유튜브 저작권 규정상 자동으로 광고가 붙습니다.   그렇게 발생된 영상 속 광고 수익은 모두 원저작권자에게 돌아가고 저는 수익이 없습니다!   광고가 불편하셔도 이 점 양해 부탁드립니다... 
@user-ms6hy5wb3c,무심코 댓글을 내리시다 이 댓글을 발견했다면 행운이 함께할것입니다.하고싶은대로 잘되시고가족과 항상 행복하세요. <●_●>오늘도 고생하신 그대에게 행복한일만 가득하길 응원합니다 .
@user-uq4fs4pz5x,이 노래 듣고 계신 모든분들 항상 하시는일들 마다 잘 되셨으면 좋겠네요.아무런 근심 걱정없이 행복한 날들만 있으시길 진심으로 바랍니다~♡
@hwanhee1730,다들 힘들어서 오셨을텐데 서로 위로 해주는 모습이 너무 보기 좋네요다들 힘내요 !!
@user-xd6gq8lw1q,"오늘많이 힘들었을텐데 잘 버텼고,이 댓글을 읽는 모든 사람이 행복했으면 좋겠어.우리는 각자의 인생을 살아서 서로의 아픔을 완전히 공감하기 어렵지만 힘든건 모두 똑같은것 같아 .그니까 혼자만 그 불행한 세상 살아가지말고 종종 이런데 와서 함께 서로 위로하고 편이 되어주자.앞으로 어떤 힘들고 지치는 일이 우리를 기다리고 있을지 모르겠지만 우리는 모두 처음 살아보는 인생이니까,실패해도,부족해도 괜찮아 우리한텐 모두 살아가는데 있어 소중하고 의미있는 경험이야.꼭 잘하자가 아니라 하루하루 노력하면서 살아보자 우리가 지금 무엇을 보고 이 힘든 인생을 달리고 있을지 우리도 모르지만 마지막엔 우리 모두 해피엔딩 일꺼야.절대 포기하지말고 힘들땐 여기와서 내 댓글 보면서 꼭 위로 받았음 좋겠어."
@user-cu8jz8hv4x,"오늘 하루도 정말 수고 많았어 ️하루종일 힘들고 우울했지 ?누군가에게 기분나쁜 말을 들었거나그냥 유독 기분이 좋지 않은 하루였다거나그 누구에게도 기대기 힘든 그런 날,그런 날 누구나 어느 사람에게나 다 있지난 남들과 다른 것 같다내가 제일 힘들다생각하지 말고우리 같이 이겨내보는건 어떨까 ?이 글을 보고 펑펑 운다거나또는 노래를 들으며 가사에 집중하며너의 속에 있는 답답함과 슬픔,그 외 모든 부정적인 감정들을다 토해내고훌훌 날려버리고털어버려우리 이런거 잘하잖아 ~당장 내일이 두렵고 막막하겠지만오늘 하루도 잘 버텼잖아 태어나줘서 고마워여기에 있어줘서 고마워힘들텐데 잘 버텨내줘서 고마워지금 이렇게 내 곁에 있어줘서 고마워한 번 사는 인생,남들보다 멋지고 행복하게그 누구보다 멋지게 살아보자 어렵겠지만 같이 하나씩 해나가보자오늘도 열심히 살아줘서 너무너무 고마워 사랑해 ️"
@user-bv6up5mm1l,힘들고 힘들어서 내 자신이 더 미워지고 싫어지고 그러고 있었는데 위로 노래와 댓글 보니깐 엄청 위로 되고 따뜻해지는것 같아요.. 여기 있으신 분들 모두 진심으로 행복했으면 좋겠어요!!
@user-cs5ei7fc1n,한 번만이라도 믿을 수 있는 사람 품에서 실컷 소리내서 크게 울어보고 싶다
@user-zo6bz7si4s,아직도 가끔 들리시는거 보면 힘드신분들이 많나보네요..모두 잘 이겨낼수 있으니깐 힘내세요!!  항상 모두가 응원하고 있어요
@rimy0417,노래 듣다가 무심코 댓글을 봤는데 진짜 펑펑 울었어요...다들 마음 너무 예쁘고 고마워요..
@wzddms,오늘 많이 힘들었지? 학교에서나 회사에서나 집에서도 상처받고 지금도 많이 괴롭고 내일이 두려울 거야 내일은 또 어떻게 보내야할지 얼마나 아플지 걱정도 될 거야 지금 당장 위로받고 싶고 기대고싶지? 하지만 들어줄 사람도 없고 너의 마음이 많이 아플 거야 그런데 이 순간만 지나면 괜찮아질 거야 물론 지금 이 순간이 너무 괴롭고 힘들겠지만 그래도 우리 다같이 힘내보자 내가 힘내라고 해서 힘이날진 모르겠어 내 말이 가식이라고 생각될 수 있지만 난 너를 진심으로 응원해 오늘도 힘든 하루였지만 고생했어 넌 오늘 하루 정말 잘보냈어 내일도 난 너의 뒤에서 항상 응원하고 있을게 오늘도 버텨줘서 고마워 사랑해
@user-cr1mv2ht2g,이 노래를 들으러 온 사람들 모두 행복한 일만 있으셨으면 좋겠어요 서로 잘했다고 토닥토닥.. 하는 모습이 정말 인상깊네요 많이 힘들었던 하루였는데 덕분에 많은 응원과 힘 얻고 가요 다들 힘내요 수고했어요
@user-nw8zt2qr9q,하나님 이 세상의 모든 사람들이 별처럼 빛나게 해주세요. 하나님 이 세상 사람들 중 아무도 힘들지 않고 소외 당하지 않게해주세요. 하나님 힘든 사람들의 하루하루가 빛나게 해주세요. 하나님 아버지의 이름으로 아멘
@user-nf4yu3ml7h,여기 계신분들 한분도 빠짐없이 전부 행복했으면 좋겠다..
@user-zo9ig2hb4l,힘들다는건 노력하고 있다는 것. 무너지지 말자~!!
@user-zc3th4hm8e,다들 힘냅시다 ㅜㅜㅜ 노래 엄청 좋네요 ㅜㅜㅜ 노래추천해주신 분도 힘내세요 화이팅
@user-wv5ob8ou4d,잘 듣고 갑니다힘들고 지쳐 있는데  참 위로가 되네요고맙습니다 행복하세요
@user-eh1hq6yp4l,위로 받을려고 왔다가 댓글들 보면서 진짜 위로 많이 받고 가요 감사합니다
@user-vc3hx2xf5v,"사람들은 가슴속에 제각기 다른 무게의 추를 달고 살지요.누군가는 당신이 지탱하는 삶의 무게가 가볍다 평할지라도, 그대는 그렇지 않다는 것을 압니다.언젠가, 그 무거웠던 추가 가벼워지는 그날을 기다리며 모두를 위해 기도하겠습니다.힘내봅시다 우리."
@user-pi1nr5zr1e,너무 우울해서 진짜 미칠거 같아서 여기 왔는데 여기 노래 들으면서 댓글에 위로해주는 사람들 보니까 진짜 너무너무 고맙다...진짜 너무 고마워요...
@user-xn3zm1jw6k,아직도 보시는 분 있을지 모르겠지만 써봅니다.저도 정말 많이 힘들어서 왔는데 글 들을 보니 잠시 생각이 달라집니다.여기 있으신 모든 분들 힘든 일을 겪으시느라 고생하셨어요. 이제  힘든 생각은 잠시 두고 행복했던 점을 생각해보세요.여기 계신 모든 분들이 아름다운 한 인간 입니다.모두 행복한 날들만 있길.ᐟ
@user-vm7zl2dm7q,이곳에 들어오신 모두 행복해지시길 바랍니다.하루하루 다시 내 마음과 내 몸을 다독이면서 나아가봐요. 진심으로 늘 응원하겠습니다.
@yun_channel,지친 마음이 치유가 되는거 같네요음악은 최고의 선물 인거 같네요
@anjou80,울고싶어서 검색하다 이렇게 좋은음악들 알게 되었어요 .구독하고 갑니다 잘 들을께요2023. 모든분들 새해 복 많이 받으세요
@jijohn21,요즘 많이 힘드네요 항상 오늘을 마치는 일이 왜 이렇게 어려운지 모르겠어요. 위로받을 사람도 이야기를 털어놓을 사람도 없네요. 정말 정말로 사랑받고 싶은 날이에요
@user-ue9uj1er3p,"지쳤다. 는 노력했다는 증거, 실패했다. 는 도전했다는 증거, 긴장된다. 는 그만큼 진심인 증거. 그만둘까. 는 지금까지 희망을 버리지 않은 증거. 솔직해질까. 는 그만큼 상대를 생각한 증거"
@user-gc5vm2bf6r,오늘 정말 우울했는데 노래듣고 힘을 얻었네요~ 오늘하루도 수고 많으셨어요 
@user-ws8mz9sb8w,진짜 힘들고 인생 포기하려고 이노래 듣고 힘이 생기네요 고맙습니다 ㅎㅎ
@user-wy1of8rs5i,남편과 이혼했습니다 저만 미련이 남아있는 상태라 너무 힘이 드네요.. 노래로 위로받고 갑니다 언젠간 꼭 제가 행복해졌으면 좋겠습니다
@user-iw2vj1mi6h,수고했다 지민아. 대견하고 자랑스럽고 장하다. 앞으로도 포기하지 말고 잘해보자.
@user-ri5we9yn8g,썸네일 보고 팬이라서 들어왔다가 플레이리스트 노래 모두 마음에 들어서 쭉 듣고 갑니다️
@user-jj7xk8mu4u,"밤에 항상 울어요. 소리없이 부모님도 모르게, 밑에서 자고 있는 언니도 모르게. 그런데 누군가 한명이라도 알아줬으면 좋겠어요. 나 울고 있다고, 정말 단 한명이라도 좋으니 왜 울고 있는지,  물어봐주고 알아주고 위로해줬으면 좋겠어요."
@user-ou7ip2xv5p,진짜 여기 댓글 다시는 분들은 하나같이 다 마음이 따스한 분들이신 거 같아요...서로에게 해주는 위로가 제게 닿아 저 또한 위로 받게 되네요!다들 건강하고 행복합시다...우리 그래도 돼요
@lina_9600,수능 130일 안남은 수험생중 한 명입니다. 우리 같이 조금만 더 힘내봐요.
@user-hz4kq3yj4h,"요즘 내 상태를 몰랐는데 이 노래들은 듣고 나 많이 지쳤구나,나 많이 힘들구나,나 인생 열심히 살고있구나를 알게 되었어요 이 노래들을 들으면서 저절로 눈물이 나오더라고요 많이 위로가 됐어요"
@solvely615,댓글들 보다가 힘든 제 마음과 다들 같은 것 같아서 저도 모르게 눈물이 나네요 예쁜 마음들이 많아서 위로 받고가요 감사해요
@user-xd3xw1xt4q,아까까지 멘탈이 너무 나가서 아무 생각도 없고 지쳤는데이 노래들을 들어서 조금 괜찮아지네요..
@yuuu_e,다음생엔 나보다 더 좋은 사람으로 태어나서 꼭 행복해
@user-xu1cq1ip7l,오늘 너무 우울했는데 이 노래 듣고 위로 많이 받았네요 ^^ 감사합니다
@user-if4cr5ts4c,오늘도 혼술 하다가 생각나서 듣고 있는데뭐가 어디서 부터 잘못되었는지 너무 힘들고 아프네요힘들고 아플 때 마다 듣고 있는데 항상 눈물을 흘리게되네요 이 노래를 듣는 모든 분들이 잘되고 행복했으면 좋겠습니다 모두 화이팅!!!
@user-rg6lu3ig2f,"언제 어디서 살고 계실지 모르겠지만, 지금 이 노래를 듣고 계신 분들이 모두 행복하셨으면 좋겠어요"
@user-vl2mf3nc1c,이렇게 좋은 노래들이 있다는것도 모르고 살았네요. 좋은 노래와 여러분들의 따뜻하고 위로가 되는 댓글들 보며 많이 힘내고갑니다감사합니다.
@user-jm8fd4qq2o,이런 플레이리스트는 금요일에 들어야 제대로 힐링이지ᆢ최신선곡 센스 나이스!
@user-pf6kk8nr8t,과거는 그립고현재는 괴롭고미래는 두렵다         -
@kukudasse,난 잠깐 아파서 왔는데 마음이 아픈사람이 더 많네요.. 다들 힘내세요 작은 손짓에도 의미가 있듯이 그대의 작은 힘에도 의미가 있어요 응원할게요..
@user-wc3qv6ux1m,요즘 하는일이 잘안되서 속상한데 노래 듣으니 차분해지고 힘이나네요.. ^^
@user-sl8nw9ec1n,"여기 있는 플레이리스트에서도 좋고, 아니어도 좋아요. 자신에게 특별한 곡이나 힘들 때 가장 위로가 되었던 노래들 한 번씩만 알려주세요. 사람들에게 실제로 와닿는 노래들 더 들어보고 싶어서요"
@ryankim9126,이런날도 저런날도 있는거겠죠ㅎㅎ 노래들으면서 힐링 잘 하고 갑니다~ 다들 마음의 짐들을 내려놓게 되시면 좋겠네요!
@user-ow8sr4qw5t,힘드신분들 모두 토닥토닥 입니다..요즘 힘드네요 모두 이 음악들으시는 모든 분들 평안하시길....
@mechord2911,부모님께는 미안해서 못기대어 울고 친구는 그렇게까지 울수있는 친구가 없고 항상 이렇게 혼자 우는 내자신이 너무 싫다 남 위로는 그렇게 잘해주면서 정작나는 위로받을 사람이 없다는게 서럽다
@2002ksg,시간이 말해준 인생은 깨닿음의 연속이다... 힘들고  지칠때 항상 되뇌이는 말이네요. 모두들 힘내시고 회이팅입니다.♡
@user-pg6jn4cz3t,답답하다 진짜.... 화나다가 지치면우울해지고 그러다가 반복되고그래도 여기서노래들으니깐 진짜 힐링되고 위로되서 그나마 위로 되네요...ㅜㅠ
@lifeis9660,위로해주고 마지막엔 에너지채워주네;; 채널장님 플리 선곡 센스 개쩔어요 사랑합니다 덕분에 지대로 위로받고가요️
@user-pd1ep1jw6z,이 영상 조회수가 400만이네요 ㅋㅋ 다들 힘내시고 내일은 오늘보다 더 좋은 하루였음 좋겠네요 여러분 모두 좋은 하루 되시고 오늘도 수고하셨어요 잘자요 
@user-nc4xr1nl3l,"""남들하고 널 비교할 필요 없어. 지칠 땐 잠시 쉬어도 되고, 천천히 걸어도 돼. 힘들면 내가 손잡고 같이 걸어줄 테니까, 걷는 걸 포기하지만 마."""
@user-pl7oy1mj4h,"한없이 지치신 분들, 외롭고 힘드신 분들, 모든 분들 조금이나마 노래 듣고 위로가 되셨으면 좋겠어요 힘내세요"
@user-ss6ij4ke9p,"내일은 더더 좋은 날이 올거예요 긴장하지 마시고 푹 쉬세요!! 저두 지금 어떠한 일로 스트레스 만땅으로 받고 속상해하구있지만,, 다 씻어버리구 다같이 힘내자구요"
@user-vq6jo9gs6d,이제 막 사회 초년생이 된 22살입니다.다들 삶이 지치고 자기 자신이 싫을 때도 있겠지만 힘내서.. 하루하루 행복만 있길 바랍니다.
@user-zh7jz4ps6w,"이노래를 듣고있으신  모든분들 늘 행복이함께하고, 앞날의 기쁨이 항상함께하길 바랍니다 힘내자구요"
@user-yi9pz7tw1v,저 학교 생활과 가족 때문에 힘들었었는데 노래 듣고 조금 마음이 풀렸어요. 그리고 댓글로 많은 위로 감사합니다.
@glasowkwpqkf,듣자마자 눈물이 쏟아져 니오네요
@hanbi05,그냥 눈물이 흐르는게 아니라 쌓이고 쌓여서 넘친것만 흐르는거야.
@user-do8px2uu5o,힘들고 지칠때 가끔 찾아와 노래를 듣는데 제 마음까지 녹이며 힐링시켜주는 플레이리스트예요 사람이라는게 너무 힘들어도 어떻게든 버티고 그걸 이겨낼려고 하니 이런 영상에 또 감사하게 되는 하루입니다
@user-sd9ig8ql7c,오늘따라 멘탈적으로 힘들어서 걸으면서 듣고있는데 정말 좋네요 이번년도에 새로운일 들을 많이 도전했는데 못하기도하고 무시도 많이받아서 자존감도 많이 떨어진 것 같아요.. 노래들 들으면서 힘내서 더 도전해봐야겠네요 다들 화이팅!
@no.1miracle,댓글 잘 안 다는데 요즘 싱숭생숭하고 공부에 집중도 안돼서 힘들었는데 어쩜 노래 하나하나가 다 주옥같은지.. 덕분에 에너지 충전하고 갑니다.
@2002_December,세상엔 힘든 사람들이 정말 많은 것 같아요가족도 친구도 모두 행복했으면 좋겠습니다아프지 말고 오래오래 웃으며 살 수 있길.. 오늘 하루도 수고 많으셨습니다
@user-ql8ul2id6v,"요즘 취준하느라 외롭고 진행이 더딘 느낌이라 우울했는데,,,, 우연히 들어온 이 플리에 댓글보고 위로 받네요 ㅠㅠ 여기 댓글 왜이리 따뜻한거야,, 모두 행복 가득하길 진심으로 빌게요! 사랑해여 모두️"
@user-xm2kq2pj2c,힘들어서 여기에 온 사람들이 힘들어서 여기에 온 사람들을 위로 하고 격려하고 있는 댓글들 보면 ..우린 누군가에게 아직 힘들 쥐어줄힘과 마음이 있다는것.모두 화이팅
@user-yl7to3yv3l,"힘들어서 위로받고싶어서 들어왔는데 노래 너무 감동적이네요 ㅜ 댓글보면서 느꼈어요""아 나만 힘든게 아니구나 내가 힘든만큼 다른 사람들도 힘들어 하는구나"" 그래서 이제부턴 힘들어도 열심히 살아보려구요 여러분 힘내세요 ㅠㅠ 모두 잘 하고계셔요!"
@bbb_3328,힘들때도 있지만 그때만 지나면 더 행복해질꺼에요!!..모두들 언제나 행복하고 즐거운 하루 보내길 바랍니다.
@user-cz8ld5xd9s,노래 틀자마자 눈물이 완전 사라질지 않지만 들을수록 눈물이 깔끔하게 사라지네요
@user-ox8kh8km4q,요즘 너무 힘든데...다시 열심히 살아보려구요!!!모두 화이팅해요~~~~
@jiahwang3732,정말 마음이 녹아내리네요 감사합니다
@user-wh9xv2cd3h,가족에게 위로 받고 싶어서 얘기꺼내는데 항상 돌아오는 건 눈물인가봐.
@user-xd9le2vw8f,모든분들 오늘 하루도 수고하셨고 행복하시길
@aammin,다들 펑펑 울자 그냥 자기 생각만 좀 하고 살어 화이팅..
@user-ju9kq6rd4w,오늘 학교에서 실수해서 선생님한테 정신 안차리냐고 혼나서 하루종일 우울했었는데 여기 댓글 보고 많은 위로를 받았어요.....이 노래 들으러 오시는 분들 모두 좋은 일만 가득하셨으면 좋겠어요!
@user-in8yw3iu9n,모든 힘든 일이 지나가고 여러분의 나날이 앞으로도 행복하기를 오늘도 모두 수고하셨습니다 같이 내일도 버텨보아요 저도 힘들때마다 여기에 와서 인증하겠습니다 같이 살아요
@user-bj8mf9yk8o,누군가는 힘들고누군가는 지치고누군가는 우울하고누군가는 기대고싶고누군가는 참을겁니다사람은 생각을 하고 감정을 꺼낼수 있으니 지금처럼 누군가와 소통하고 자신의 고민을 털수있다면 그보다 더힘이되는 건없을겁니다그러니 모두들 지금 한순간만이라도 단 몇분이라도 좋으니 행복하시고 항상 웃는 모습으로 살아가시면 좋겠습니다이글을 보시는 분들 모두 힘내세요 응원합니다
@SM-gm6in,가족도 내 편이 되주지 않는데이 노래는 내 편이 되주네
@user-ce8gd6ct2z,힘들다는게 그만큼 열심히 살았다는거에 대한 반증이라는걸 알면서도 언제까지 이렇게 살아야되나 버거웠는데 노래도 그렇고 댓글 써주신분들한테도 위로받고 더 버틸수 있는 기회가 된 거 같네요. 주유소 들렷다 간 느낌이에요. 감사하고 다들 더 힘내봅시다! 내일은 오늘보다 더 좋은 하루가 되시길 바라겟습니다
@JunMan11,각자 어려움과 힘든 상황을 적으면서 조금이나마 공감을 받으며 위안을 얻고 계신 분들이 많네요유튜브의 순기능이구나 싶어요다들 힘내자구요
@hat0590,지금은 힘들어도 다들 견딜 수 있을거에요. 포기하지 말죠 우리. 모두 화이팅!
@Paued,"모두 힘내시길 성공하시길 실수, 실패해도 좋게 극복하고 한번 인생 제대로 살아가세요. 저도 힘들고 세상이 억까한다는 생각을 합니다. 이렇게 위로가 되는 노래 플레이리스트를 들으면서 힘을 내봐요... 저 지금 좀 많이 힘듭니다..ㅎㅎ"
@user-nn6me4jo6f,애써 지친맘 감추며 눈물까지 꾹꾹 눌렀는데~~ 역시나 내마음 알아주는 노래가 있어서 위안이 되네요~
@user-bf8jc4oq7o,"너무너무 위로가 되었습니다 ! 29년동안 살면서 자신에 대해 너무 몰랐던 것 같아요. <나>에 대해 마인드 맵 해보면서 들었는데 정말 좋아요..! 학생분들, 취준생 여러분, 직장인 모두 화이팅하세요!!"
@user-kr5lh8kf4r,요즘 제가 뭘 하려고 하면 항상 안되고 다 망치고 그러는데 이 노래 덕분에 힘내고 다시 시작 하게 됐어요. 너무 힘들고 시작도 못하고 친구 관계 땜에 힘든데 이 노래가 그때엔 너무 도움이 됐어요. 이 노래 듣는 사람들 모두 안아프셨으면 좋겠어요. 아직 살 날이 많이 남았어요!! 너무 죄책감 가지지 마시고 모두 화이팅 하세요 아프지 마세요
@user-vv5yi2ov3p,"예전에는 무조건 강한척, 쎈척하는게 세상벼슬인줄 알았는데그게아니더라구요강한척만 하다보면 주변에 사람이없어요자기가 필요없다고 생각하고 가버리거든요그러니까 우리모두 힘들땐 힘들다고 해요힘들때 누군가에게 기대고 위로받고해야그게 사람사는세상 아닐까요"
@user-nd8zm5hu8m,지금 넘 힘들고 조금이라도 행복해지고 싶어서 여기 왔는데괜찮아요 듣는 순간 눈물이...ㅠㅠㅠㅠ
@user-gz7vb9dc6e,이 노래들 듣고 위로가 넘 잘됬어요
@user-jj8no4tc2u,살면서 노래들으면서 이렇게 울어본적 처음이네요..정말 감사합니다.
@user-jx1pf5jc7g,"나 오늘 조금 힘들었다. 아니 조금 많이 힘든거 같아.  나도 왜 그런지는 모르겠는데,  노래를 듣고 댓글을 읽는데 눈물이 펑펑 나와.  요즘 인터넷에서 부정정인 글들이 많은데, 여기는 참 따뜻한 사람들이 많아서 좋다. 오늘 나를 울려줘서 고마워요 큰 위로가 되네요. 당신들은 진짜로 멋진사람들이야."
@user-mx3bc3cy8t,정말  위로가되는 노래네요혼자 아들 둘 키우면서 그동안 못해주것도 많고해주것도없는데 어긋나지않고  잘 커줘서안아프고 잘 커줘서 너무  고맙다ㅜㅜ
@rachel_04,초6땐 그냥 멜로디가 좋아서 매일 부르고 다녔던 괜찮아요... 이젠 가사가 와닿는다  ㅜㅜㅜ
@user-pl7tc5bi6n,다들 힘내요 진짜 앞으로 행복한 길만 걷어요 다들
@user-mw5wg7gg3h,너무 힘들고 아프시죠? 당신은 너무 소중하고 멋있는 사람이에요.. 포기하지마시고 도전하고 노력하는 멋있는 사람이 되주세요 힘내세요 그냥 모든걸 버리고 싶어도 힘내주세요.. 제 댓글이 힘이 되셨길 바래요 제발
@oze6790,"변하지 않는 사랑을 받는 건, 참 어렵네요. 편해지는 것과, 변하는 것, 그리고 변화하는 것과 변하는 것은 다른 것이라고 생각하는데, 난 예전에 행복하던 우리의 모습만을 생각하며 변하고 있는 그 사람을 놓아주지 못 하고 있네요. 이럴 거면, 너무 다 해주지 말 걸, 마음을 모두 맡기지 않을 걸 그랬다. 앞으로도 함께 행복하고 싶은데, 할 수 있는 걸까?"
@bri_us,처음엔 슬픈 멜로디에서 뒤로갈수록 밝아지는 노래 선곡에 감탄했습니다ㅠㅠ 찐막님 의도하시고 뽑아주신거죠?! 세심한 배려 너무 감사합니다ㅠㅠ 너무 우울하고 힘들어서 들어왔다가 행복한 마음으로 다 들었네요 :-) 찐막님의 배려와 좋은 곡들로 많이 힐링 받고 갑니다!! 감사해요! ️
@user-in4zd6ft7d,아프지말고 아프지말자 진짜 띵곡…
@ji_young,올해졸업하고 취준생인데 취업 너무 힘드네요... 한없이 우울해져서 위로받고싶어 검색하다가 들어왔는데 노래들으면서 울었네요ㅠㅠ
@user-kn9tf3fl8e,괜찮은척 하기 버겁네요 다들조금은 편안해지길 바래요^^
@user-ml7tb8pk5f,학교에서 너무 힘들고 지친일이 많아서 부모님께 지금 제 마음에 대해 말해드렸는데 돌아오는 부모님 말은 참아라는 말이더군요 저를 위해 하는말 이었을지라도 저는 그저 위로를 받고 싶었을뿐인데 아무도 따뜻한 위로를 해주지않고 저를 위로해주는거는 노래네요..  내일을 생각하니 벌써  지치고 외롭지만 노래 덕분에 위로받고 갑니다
@user-ll9ss3nd9s,고등학교 첫 시험 3개월 전부터 준비 했고 노력 했는데 망해버렸어요그냥 너무 속상했는데 이 노래 듣고 바로 눈물 났어요
@nimus_243,현재 고3 19살 학생입니다너무 미래가 막막해서 우울함에 노래 들으려고 왔는데 노래 들으니까 눈물이 나고 댓글을 보니까 눈물이 나고 그냥 계속 눈물만 나네요매일 위로 해주기만 하는 입장에 있었는데 노래 듣고 처음으로 위로 받는 기분이라서 슬픈데 좋네요
@user-gz6ns2dj6h,"항상 지치는데,항상 피곤한데,항상 지나갈거라는데, 그 지나가는 시간이 힘든건데, 그걸 꿋꿋하게 버티는 여러분이 항상 대단한거고. 만약 울고 싶을때는 참아가며 울지말고, 눈치보며 울지말고 쏟아낼수 있도록 그만큼 열심히 살아온거고, 그리고 많은 사람들은 뭘했다고 힘들어,우리는 더힘들어...이런 말들 신경쓰지말고 자신을 사랑해주고 위로받고 하는일 모두 풀리고 열심히 사는 모습을 많은 사람에게 보여주세요! 언제나 모두 화이팅입니다."
@user-eq2uu9rx4l,몇달동안 이 노래 안 듣고살았는데 또 갑자기 듣게 되네요.
@user-nj1gf9dt3e,좀 오글거릴 수도 있는데 오늘 너무 힘들어서 왔는데 댓글에서 저의 행복을 너무 많이 응원해줘서 너무 고마워요 진짜
@user-vx2kh4ji1q,너무 위로가 돼요....너무 울고 싶었는데살고 싶지 않았는데.........노래듣고 다시한번 살아가고 싶고 살고 싶고 마음편히 시원하게 울었어요...고마워요....감사해요.....
@roa_1057,덕분에 눈물청소 했네요 감사합니다:)
@user-pl5hl5ib4j,힘든데도 다들 포기하지않고 계속 살아가줘서 고마워요
@user-vj6pu8rn5i,이 노래 올려주셔서 감사합니다전 늘 웃고있는데 안웃고 있었거든요...이제 위로가 되네요 감사합니다 :)정말.. 이 댓글을 쓰고있을때도 전 울고있네요이젠 슬프면서도 기뻐서...
@yeonstay3853,올해는 다들 무탈히 행복하시길
@naongTV,나말고도 힘든사람 이렇게 많네… 우리 잘하고 있는거죠?ㅠㅠㅠㅠㅠㅠㅠ다들 행복하세요
@user-kb4qw2ki4n,지금 이렇게 울다지쳐 눈감고 잠들어버리면 내일이 오지 않았으면 좋겠다
@user-ho2cc5ok7z,이젠 감정이 없어도 눈물이 그냥 흐르네
@user-to9ng6ln1c,진짜위로가됩니다그동안싸였던스테레스가확풀리네요
@user-xr5tj1cu2x,이 영상까지 도달했다는건 당신은 잠시 지친겁니다지쳤다는건 노력을 했다는 말이잖아요?열심히 하고 있어요 앞으로 조금만 더 힘 내요 응원할게요
@jlw458,"여기들어온사람 모두 각자 사정땜에 힘드실텐데 위로해주고,, 너무고마워요 모르는 사람에게 받는 위로도 나쁘지않은거 같네요..! 우리 모두 힘내자고요 내일은 더 나아질꺼에요 화이팅하세요!!"
@user-kl4xo1wp7m,가끔은 이렇게 누군지도 모르는 사람들한테 받는 위로가 정말 도움이 되는 것 같아요.. 요즘따라 정말 힘들었어요.. 앞으로 내가 잘해낼 수 있을까 걱정되고 이런저런 고민으로 정말 힘들었는데 댓글들 보면서 힘내고 있어요..!
@user-ro8dk3ji9k,여기 있는 사람들 모두 행복하게 해주세요 웃는 일만 생기게 해주세요
