id,comment
깨민,마음이 편안해지네요..들으면 들을수록 더 좋아요! 마인드피아노님~편안한 오후 보내세요 : ) 이거 들으면서 공부 열심히 해보겠습니다!>.<
마음챙김 음악 Mindfulness Music,Just listening to this sound is as if the body and mind are reinforced.
깨민,와..음악도 좋지만 영상에 나온 배경사진이 너무 예쁘네요! 초록초록한 숲속..숲 공기 가득 마시며~열심히 공부하겠습니다! ㅎㅎㅎ 감사합니다! 편안한 오후 보내시길 바래요 : )
Ghibli Piano BGM,"This sound is so wonderful. The person who is reading this comment , i wish you great success , health, love and happiness !"
????????????????,음악 선율이 부드러워서 차분한 환경 조성하는 데에 도움이 많이 됐어요 
조앤,음악과함께 책을 한참을 읽었네요~고맙습니다
꽃보다 김츄,최근 책 읽기에 취미를 붙였는데 같이 들으면서 읽는데 너무 좋습니다! 고맙습니다 :)
편안한 음악 - Relaxing Music,이 노래 감사합니다 너무 예쁜 노래 에요
새벽달빛 90,정말 감사해요~~♡♡
김예은,안녕하세요! 음악 너무 잘들었습니다ㅠ 혹시 첫 곡 lemongrass 악보가 있을까요? 너무 사고싶습니다!!!
진앤인,노래 좋아요
진앤인,이 노래 감사합니다 너무 예쁜 노래 에요
진앤인,
STUDIO 손수,교ㅛ
