id,comment
@ipmmwarner7348,"? 시청 해주셔서 감사합니다! 제 영상이 마음에 드셨다면 구독, 좋아요, 공유를 잊지 마세요! 좋은 하루 보내세요!    나를 따르라 : https://www.youtube.com/channel/UC1FK2u5Cz2751j52QfGqngQ"
@user-fi9rr2tk4d,"음악도 신나고 노래도 넘 좋아요     "
@user-fh7ii6uj7s,신나게 즐겁게 듣고 있어요 감사합니다  ~~
@user-pt1wc5dg8u,노래선곡 센스짱!!  잘 들었읍니다
@user-ws2os7xi3t,"코요테,거북이,터보,쿨,디제이덕,클론  좋아하는 그룹 선정과 선곡들 넘 좋습니다 "
@user-pl2wq8mu6q,"광고가 없어서 너무 좋아요!!!운동, 쉴때, 운전할때 매일 매일 잘듣고 있어요~^^감사합니다~^^♡"
@user-ww6mf7iu2t,"DJ DOC  DOC와 춤의 가사처럼 회사에 청바지도 입고,넥타이도 잘 안 메고요~학교 교복도 여름엔 반바지 입고(겨울엔 긴바지라도 춥네요)길거리에서 노래부르고 춤추면서 세계로 유명하게 되었네요~혼밥,혼술이 이상하지 않고,넘 빠쁜 일상에 가족이 함께 같이 밥먹는 것만으로도 행복하네요^^코로나 19로 인해 못하는 것 많은데 즐거운 노래로 주말 신나요^^옛 생각도 나고,감사합니다♡"
@user-fd2dn7vb5g,정말 옛생각에 눈물이 낭니다..노래방가면 춤추면서 열심히 놀았을때가 그립습니다..이제 벌써 환갑을 향해 달려가니 지난 시간들이 아깝고 후회가 참 마니 남네요..이좋은 추억송이라도 들으면서 풋풋해던 미모와 꾀꼬리 같은목소리로 수다 떨때 회상하면서 행복해지려합니다
@user-yu3qp8mn5q,"소울뮤직!우연찮게 듣다가 그때 그 시절 제가 좋아했던 노래여서 구독 ""꾹""누르고 듣고있어요~다른분들처럼 저두 넘 그리운 그때 시절을 노래 들을때마다 회상해요~^^넘 좋아요~좋은 노래 넘 감사드려요~^^"
@LoveMusicII-el6nc,요새 맨날 이 플리 들으면서 작업하네요~~ ㅎㅎ 플리 너무 잘 듣고 있습니다 정말 좋아요!
@user-fh7ii6uj7s,거북이 개추억ㅠㅠ한참 비행기로 터틀맨 잇고 거북이리즈시절 동네체육관 축제에 와서 학생들 다 모여서 떼창하느라 체육관 터지는줄 알앗엇는데..그때 그 열광 아직도 잊지못함ㅜㅜ
@user-oi4og9qo4c,
@user-ls2mw3hz2d,정말 옛생각에  눈물이 낭니다..노래방가면 춤추면서 열심히 놀았을때가 그립습니다..이제 벌써 환갑을 향해 달려가니 지난 시간들이  아깝고 후회가 참 마니 남네요..이좋은 추억송이라도 들으면서 풋풋해던 미모와 꾀꼬리 같은목소리로 수다 떨때 회상하면서 행복해지려합니다
@user-om4jr5ch4h,진짜 김택성 이5152죽으면가짜5152코씨엠줄눈은김탁상인대아냐진수억대만호기선라기코낵이진짜김택성이된댜웃기지돈통장카드찍는기계있서해미파부지라기코낵부지서산부랄닭공장34여돈빼서서
@user-gb9kq1fx3v,화려한 싱글 홍보글인가? 킹받네
