id,comment
@fitvely,"핏블리 뮤직 플레이리스트  ? 운동할때 듣는 팝송 모음https://youtu.be/eoEcEOV7b9E? 신나는 팝송 플레이리스트https://youtu.be/_0pyGclSurg? 광고없는 세련된 음악https://youtu.be/JW2qKAYyLJU? 당장 뛰쳐나가서 운동하고 싶게 만드는 운동요https://youtu.be/wvdMfeoYFLo? 붐붐 신나는 음악https://youtu.be/PDjHx3l-8y4"
@user-ey4vb6dl7l,와 과하지 않은 적당한 템포라 너무 좋네요ㅋㅋㅋ 아침 런닝에 제격입니다
@user-oj8ez4vg3s,제왕 3일차 노래들으며 입원실 복도 걷기 조지고있습니다~~~ 운동만이 살길 빠른 회복 가즈아~~
@seungheelee5540,It's so good to work out .thank you for sharing us.from New Zealand ????
@lilee7337,집에서 운동할때 듣던 음악중 최고인듯요중간중간 흥에 손짓 발짓 몸짓해가며 운동 잘 하고 있읍니다채널 감사해요~^^
@uso5148,아 진짜 힙해서좋네요 진짜 전투태세노래가 아니라 힘낼수있게해주는 음악들 감사합니당
@english4073,진짜 노래 너무 좋네요^^
@yooyeonjiable,홈짐에서 유산소만 할까 하다가 처음 10초 듣고 근력 운동 뿌시구 유산소 넘어가용!!! 진짜 헬스장인 줄 알았어여 ㅋㅋㅋㅋ
@user-gz7lw7ll7v,운동할때 들어도 산뜻하고 그냥 들어도 좋은 음악 인것 같아뇨~ㅎㅎ
@user-cc2gf2oh1r,시간이 되신다면 허리디스크 있는 사람이 하면 좋은 운동 루틴 최신판 영상도 한번만 부탁드립니다♡
@doukkang6304,와 형님 첫 곡부터 느낌 지립니다헤드폰 끼고 등 싹 당길생각에 벌써 불끈하네요종종 이런 플레이리스트 올라오면 정말 좋을꺼같아요
@seanoh7372,6킬로미터 조깅하는데 아주 좋네요 ㅎ 적당한 비트감에 발폭이랑 잘맞는듯 
@user-sc7xu7ln8l,노래 진짜 신나고 좋네요^^ 덕분에 트레킹잘하고 들어왔어요 감사합니다^^
