id,comment
@WoodenChair,"Play list1. 신지호 - 그 여름, 그 바다2. 신지호 - Waltz On Sunday3. 신지호 - 단발머리4. 신지호 - Like Rain In Your Mind5. 신지호 - Day Dream6. 신지호 - Would You...7. 신지호 - Just When You Thought It Was Over8. 신지호 - Blind9. 신지호 - The End10. 신지호 - 비밀11. 신지호 - Lost12. 신지호 - I'm All Yours13. 신지호 - Circus14. 신지호 - The 1st Epilogue"
@jaylin4548,"집중이 되지 않아 이곳으로 오신분은 집중이 되었으면 좋겠고, 시험 때문에 불안해서 오신 분은 꼭 시험 결과가 좋았으면 좋겠어요. 누군가의 응원을 보기 위해 오신 분들은 꼭 응원받았으면 좋겠고, 이곳 노래가 좋아 오신 분들은 즐거운 감상이 되셨으면 좋겠네요."
@mielimi,We don't speak the same language but this is such a beautiful playlist. It's like medicine to the ears. It's really beautiful. Thank you.
@user-ff8wp1rz8i,집에서 프리랜서로 글 작업하는데 마감 앞두고 발등에 불 떨어졌을 때 이거 들으면서 작업하면 작업속도 확실히 올라갑니다 ㅎㅎ 영감도 팍팍 떠오르고 최고에요!! 작업할땐 항상 이거 틀어놓고 해요^^ 좋은 음악 모아주셔서 감사히 잘 듣고 있습니다~~~
@RubyTsaiprincess7,This is so beautiful. Could you share the piano sheet please
@user-tf8yb5hj1m,"지금까지 공부할때 집중잘되는 음악, 주파수 다 들어봤는데 클래식이 진짜 집중하기 되게 좋네요ㅎ 집중 안됐는데 금방 집중되네요!! 영상 감사합니다"
@TheSongyi83,너무 잔잔하지도 않고 너무 시끄럽지도 않아서 좋아요️ 제가 너무 조용한 노래는 싫어하는데 ㅠㅠ 너무 다 조용해서 제 스타일은 아니었거든요 ㅠㅠ 근데 여기 진짜 딱 적당하고 좋네요 좋은 영상 감사합니당!
@user-zj4lv4es5w,다른 재즈 곡 모음은 잠이 오고 귀에 잘 안들어왔는데 여긴 그야말로......ㅠㅠㅠㅠ어쩜 선곡이 다 좋은가요 ?? 자주 들어와서 귀르가즘 느끼고 가겠습니다 이런 좋은 곡들을 알려주셔서 감사합니다 행복하세요️
@user-rp7ln1jq6h,"시험 준비 때문에 여러가지 브금 다 들어봤는데 이게 가장 집중이 잘 되는 것 같아요!개인적인 의견일지는 몰라도 가사없이 적당히 잔잔한게 좋은 것 같아요,,이번 시험은 이 브금 들으면서 올백 맞기를 기원합니다... 모두 화이티잉 힘내요!!"
@YukiDongki,"예전부터 유튜브 편집을 할 때 꼭 듣는 음악이에요 모든 분들이 이 음악을 듣고 마음이 편안해지며, 집중이 잘 되시기를"
@user-hf8jj9wl2f,과제할 때 진짜 잡생각 안 나게 해주고 너무 좋아요. 이제부터 이것만 들으면서 열심히 과제하고 공부할게요 감사합니다ㅎㅎ
@mks3646,Music is so great!! It is the most wonderful song ever!! Thank you to Wooden Chair!!
@valentinodipaolo6263,집중 잘되요! 혹시 시간별로 제목과 매칭해주실 수 있을까요ㅠㅠ 노래 참 좋아요
@user-pf6rd3vf5f,와 .. 진짜 집중 너무 잘돼요.. 음악 들으면서 ppt만드는데 이게 최고에요ㅠ..감사해요
@yun9976,저번학기 졸업논문쓴다고 많이 들었습니다! 정망 집중 잘되었습니다ㅎㅎ 지금도 보고서 쓴다고 듣고있는데 여러번 들어도 질리지않고 집중이 잘 됩니다! 감사합니다 
@hongsam123,"정말 신기하게 머릿속이 정리되면서 집중력이 좋아집니다. 구원의 음악, 너무도 감사드립니다!"
@user-lx7uz7pf6j,너무 좋아요ㅠㅠ 앞으로도 좋은곡들 부탁드릴게요ㅎㅎ
@yongk5534,작업할 때마다 매일 듣고 있어요. 이렇게 길게 듣는 거 처음이네요. 재즈류를 많이 올리시는 것 같은데 이런류로 많이 올려주세요~
@eunhyoungchoi8230,연주곡이 좋아서 두번째 듣고 있어요. 덕분에 일에 집중도 높이고 감사합니다. 새해 복 많이 받으세요~
@user-pl7bf4ml5h,그림 그릴 때 들으니깐 확실히 집중이 잘되네요 좋은 연주곡 올려주셔서 감사합니다!
@user-mq2bn4fc5q,아침에 커피마시면서 이 음악을 들으면 기분 좋게 하루를 시작할 수 있을 것 같습니다. 좋은 음악을 들려주셔서 항상 고맙게 생각합니다. 앞으로도 많은 업로드를 통해 여러 사람들이 음악을 감상할 수 있게 해주시면 고맙겠습니다.
@mariamnouh6970,One of the best playlists Thank you️️
@shinaji08,감사합니다. 좋은 음악이 너무 많아요. 듣고 있으면 마음도 차분해지고 기분 좋네요^^ 힐링 되는 느낌이에요~ 다들 코로나 조심하세여
@gracejeon92,공부하는데 집중 잘 되고 좋아요 :) 좋은 음악 계속 부탁드려요! 전투적인 음악이 나올때 전투적으로 공부하게 됐어요 ㅋㅋ
@YunmiBeom,이런 재택근무용 배경음악 자주 듣는데.. 음악이 너무 좋아서 일에 집중이 안될 지경.. 선곡 정말 좋습니다.
@user-qp5xk1jj3x,진짜 집중이 잘 되는 것 같아요.이 노래 듣고 공부 열심히 해야 될 것 같네요.이런 좋은 노래 올려주셔서 감사합니다.
@user-iz7xe6nm5f,너무 좋습니다.마음이 깨끗해지는 느낌 ㅎㅎ행복해요♡♡>
@user-gj4dp2qg1x,주변이 시끄러워 집중이 안되었는데 틀자마자 마음이 녹아내리네요. 감사합니다.
@enunaTV,"차분한 음악이 듣고파서 검색했다가 클릭하고 지금1시간째 듣고 있는데 너무 좋아요..^^아직 들을 시간이 더 남아있지만, 좋은 음악 모아올려주셔서 감사한 마음에 댓글 먼저 남깁니다^^"
@eileenpark6785,정말 일이 손에 안잡힐때 듣습니다.그러면 마음도 편해지고 차분하게 되는것 같습니다.마음 차분하게 만들고 붕 떠있는 마음을  진정하게 해주네요~
@user-ew2dq8kz3p,소리 너무 좋아요 자주 듣고 있어요!!!!
@user-fm6wl8cn5j,맘이 편해지는 음악~ 너무 좋아서 여기 자주 찾게 됩니다. 우든체어님 감사해요.
@user-gk8zh1kx1y,"노래 들으면서.. 시험 준비하고 있어요... 합격해서 다시 돌아와서 댓글 달고 싶네요^^ 모든 임고생들 힘내세요1/13,14일 2차 시험 보러 갑니다!!"
@emma-kq5sw,공부하면서 신지호님 음악 들으면 집중 잘 되길래 1시간 버전 찾고 있었는데 감사합니다!
@krleo9827,음악들 너무 좋네요~ 마음이 힐링 됩니다. 감사합니다 ^^*
@hiljenny,음악이 너무 좋아서 오히려 일에 집중을 못하고 음악에 집중하게 되네요 ㅋ. 나중에 여유있을 때 커피 한잔하며 들으면 정말 힐링되고 좋겠어요.^^===퇴근하며 듣고 있는데 힘들었던 오늘 하루 정말 힐링되는 것 같네요~^^
@user-yq6tk5xb7v,다른 공부에 집중 잘 된다는 음악들에 비해서 역동적이네요ㅎㅎ 여기 음악은 공부보다 일 빨리 끝내는 데에 도움줄 것 같아요 화이팅
@user-gk8mi1wy2j,좋은 곡들 올려주셔서 감사히 듣고 갑니다. 건강하고 즐거운 하루되세요~
@user-kv3vk2ks5d,"차분한음악선물,큰 위로와 힘이 되네요. 모두들 행복하세요^^"
@user-jl9sz6iw3z,덕분에 집중이 필요할 때마다 잘 듣고 있습니다. 선곡 너무 좋아요!
@user-mn7ib6op7j,어제 밤에 문서작성할게 있어 검색하다가 우연히 듣게 되었어요~! 3시간이 30분 처럼 느껴질 정도로 집중해서 일할 수 있었습니다~! 그래서 오늘도 들으면서 하려고요! 음악 넘넘 감사합니다!^^
@jeffjeong9125,책 읽을 때 집중되고 책에 더욱 빠지게 만드는 음악입니다. 집안을 고즈넉한 카페로 만들어줍니다. 감사합니다^^
@user-ny6dy9bd1u,"학생들 수업 준비하면서 음악 들으려고 왔는데, 정말 집중이 잘 됩니다. 좋은 음악 잘 듣고 갑니다. 정신 차려보니 벌써 1시간 넘게 재생하고 있네요.ㅎㅎ"
@user-zr5wq7si2p,"공부 집중을 위해 듣는 음악, asmr들이 많았는데 지금까지 들은 것중 제일 좋네요."
@mellowmoon8647,봄 여름 다 보내고제법 아침 저녘으론 선선한  9월! 한강변에서도   살랑이는 바람과 함께  강건너 강변도로 바라보며 아무생각 없이~~~ ~~~감성 자극하는 곡들 넘 좋아요  감사해요 
@user-nk4ft1zj5q,그림 을 그리다가 너무 집중이 안돼서 왔는데 곡이 너무 서정적인 좋은 노래들이 많아서 일하면서 힐링 하고 갔습니다.ㅇㅅㅇ 좋은 곡을 올려주셔서 감사합니다. ^o^
@jazzycoffeebgm9569,このプレイリストは勉強に本当に役立ちます。 ありがとうございます
@user-rd2eu6jy8r,플레이리스트에 맞춰 영상에 간단히 제목과 번호 정도 붙여주시면 정말 좋을 것 같아요!
@wds9289,신 피아니스트님의 곡을 우든체어님의 채널을 통해 알게되어 기쁩니다. 감성이 필요할 때마다 들어와서 느끼고 갑니다. 감사해요. 같이 느끼게 해주셔서요.
@user-hh9nz9if8q,2번째 바이올린 곡 너무  좋네요^^ 아침 시작하기 너무 좋아요
@okgiljung8197,잔잔하고 은은한 음률이 독서하는데에도 집중이 잘되고 편안해집니다.  감사합니다.  구독 좋아요 클릭^^
@hahahahahaha3450,역시 집중력에는 피아노인 듯하네요덕분에 공부 집중 잘하고 갑니다. 다음에도 좋은 음악 부탁드립니다.선플선플~~항상 좋은 영상 감사드립니다.앞으로도 좋은 영상 부탁드립니다.항상 응원합니다.감사합니다.
@smk2381,1:34 노래 너무 좋아요
@user-fi7qs4sm9q,"완전 좋아요ㅠㅠㅠ 책 읽으면서 보면, 그 책 특유의 느낌과 그때의 감정들이 되살아난 기분이에요..ㅠㅠㅠㅠㅠ 근데 책 안보면서 듣거나 딴 책, 딴짓 하며 들으면 점점 덧칠되서 그 특유의 느낌이 사라지더라고요.."
@pimplimp55,"음악 선곡이 너무 좋아요. 첫번째 음악부터 마음을 사로 잡아버렸어요 ㅠ 감사해요, 따뜻하게 들을게요"
@dpwl3208,계속 차분하게 음악 들으면서 일하다가 왜 다시 불안해지고 격정적인 기분이 들지?했는데 30:00 쯤에 노래가 긴장감이 넘쳐서 갑자기 저도 같이 간장했나봐요ㅋㅋㅋ
@user-ym7dm2iq8g,두번째 재택근무에 처음 음악을 틀어놓고 일을 하는데 기분이 너무 좋습니닷!  감사합니다 :)
